Step,Scenario,Decision,Network_Param_Anomalies_Score,Network_Param_Anomalies_Weight,Network_Param_ProtocolScore_Score,Network_Param_ProtocolScore_Weight,Network_Param_NodeReputation_Score,Network_Param_NodeReputation_Weight,Network_Score,Data_Param_Integrity_Score,Data_Param_Integrity_Weight,Data_Param_Freshness_Score,Data_Param_Freshness_Weight,Data_Param_Authenticity_Score,Data_Param_Authenticity_Weight,Data_Score,Device_Param_Identity_Score,Device_Param_Identity_Weight,Device_Param_Reputation_Score,Device_Param_Reputation_Weight,Device_Param_Compliance_Score,Device_Param_Compliance_Weight,Device_Score,App_Param_VulnerabilityScore_Score,App_Param_VulnerabilityScore_Weight,App_Param_Consistency_Score,App_Param_Consistency_Weight,App_Param_AccessCompliance_Score,App_Param_AccessCompliance_Weight,App_Score,Decay_Factor,Network_Weight,Data_Weight,Device_Weight,App_Weight,Belief_Safe,Belief_Unsafe,Uncertainty,Trust_Score
20,corporate_office,No Access,0.9339174573434634,0.33115313791952145,0.9521055243173079,0.33464015436210565,0.9920545409192679,0.33420670771837296,0.9594337181813566,0.849047656170818,0.33226481076862646,0.9311478414731856,0.3380417506037588,0.8720840115048112,0.32969343862761474,0.8843958817388351,0.9640889506082443,0.3336518701822587,0.9580451416384856,0.33413104732501436,0.9693891845182869,0.3322170824927269,0.9638303546334699,0.9261974398984579,0.3276959104847233,0.8788695842687086,0.3402277062100654,0.8944343877002466,0.33207638330521133,0.8995474326409906,0.12245642825298195,0.03078175352415383,0.03049035328125904,0.030829235743260696,0.030355085704308383,0.999535976887355,0.00023139901846078205,0.0002326240941843416,0.12241384879783031
21,corporate_office,No Access,0.9355606731106203,0.33088926857835915,0.9525414019692582,0.3348219530298076,0.9760613703362472,0.3342887783918332,0.9547851225105113,0.8777412488266603,0.33267048708630553,0.9034886311302243,0.3358235681750298,0.8821050556968978,0.3315059447386647,0.8878344545421849,0.9512201235554855,0.3332982659802729,0.9729267963476702,0.3335405975286725,0.9809202094361812,0.3331611364910546,0.9683550945348447,0.9314725601477303,0.3311330794307235,0.9211181926635077,0.33842422649412973,0.8539715672910821,0.33044269407514676,0.9023587544679967,0.11080315836233391,0.027845186203679297,0.027581854292930273,0.02788918439895244,0.027486933466771907,0.9995785716144197,0.00021186939652997514,0.00020955898905039572,0.11076807266511307
22,corporate_office,No Access,0.9278981806713457,0.33140799581026054,0.952785952885048,0.3345171000844626,0.9805732892572397,0.33407490410527685,0.9538209979094036,0.8748775322548984,0.33214122664585194,0.94420712327611,0.33556293381329555,0.8853160260971648,0.33229583954085257,0.9016106412929101,0.9621219964517004,0.3332362051500586,0.9503446746679598,0.3335573899672254,0.9697032312228305,0.333206404882716,0.9607196997193718,0.9380292339435238,0.329896526193822,0.9106488935792691,0.3398795750942272,0.8506129025751694,0.3302238987119508,0.8998562537390318,0.1002588437228037,0.025180804487059418,0.024909133455949955,0.025204355395201182,0.024964550384593148,0.9996137369239354,0.00019558323347824259,0.00019067984258636095,0.10022967610369414
23,corporate_office,No Access,0.9187925105613609,0.33192104898505714,0.9607209965861796,0.33446434994136864,0.9928180005182051,0.3336146010735743,0.9575120786849063,0.9000822666553961,0.3337384127548519,0.9299010091367232,0.3343008303557981,0.8866384042578221,0.33196075688935,0.9055878622900546,0.9677089941265095,0.3333516715656939,0.9536711810574375,0.3333438602900053,0.9863167433972162,0.33330446814430087,0.9692316213020711,0.9515118040946385,0.33132071589933,0.9099341563392008,0.33735117712427565,0.8755575336388104,0.3313281069763943,0.9123197510353804,0.09071795328941247,0.022770415435255622,0.022593259749789017,0.022795186764963032,0.022559091339404785,0.9996434538705103,0.00018157304581994412,0.0001749730836697605,0.09069354475430753
24,corporate_office,No Access,0.9199449724613652,0.33241590315365643,0.9474660745978017,0.33402601084417616,0.9976383199678694,0.33355808600216746,0.9550529807114052,0.8809116868904299,0.33479887959896226,0.9036591289252065,0.33313826928147383,0.8532568248133647,0.3320628511195638,0.8793065780118472,0.9881303214297487,0.33244777455586744,0.9667034735284211,0.3332187059654646,0.975058902074196,0.334333519478668,0.976620281261426,0.9551057141647521,0.33598227963030886,0.9015982978501089,0.3371125389928865,0.8345885479915579,0.3269051813768046,0.8976700071291067,0.0820849986238988,0.020604006993393584,0.020450949239461017,0.020609191385474648,0.020420851005569562,0.9996678481094033,0.00017013893586115253,0.00016201295473528,0.0820643833529995
25,corporate_office,No Access,0.9227591969351381,0.3322031395327182,0.963266398955965,0.3343664456010821,0.9839354429845418,0.3334304148661997,0.9567014671962963,0.8597026998769627,0.3346679417924234,0.9062859674076043,0.3316113427480595,0.8823467746163529,0.3337207154595172,0.8827070365953389,0.9706999261253944,0.33308384646615136,0.9333730670200868,0.33244295009479824,0.9753926867070204,0.3344732034390504,0.959860477631362,0.9233640429003338,0.33474451281567497,0.9152908592441938,0.3381760903527786,0.8458060167284293,0.32707939683154635,0.8952662527950486,0.07427357821433388,0.018661452833992127,0.018504589324428045,0.01864571193659967,0.01846182411931403,0.9996882948199364,0.0001605390554754423,0.00015116612458798695,0.07425604057975159
26,corporate_office,No Access,0.943286273550041,0.3312925137722796,0.9542840626170881,0.3345856906717096,0.9880794515529923,0.33412179555601085,0.9619323534639068,0.9039907165377769,0.33405093096728905,0.8880081781190966,0.3295496745745426,0.8688313514721425,0.33639939445816835,0.8868960870854127,0.9744182052489133,0.33292391779220676,0.9630865572565626,0.33250904837418854,0.9864379592950588,0.33456703383360464,0.9746717432170937,0.9178249111860914,0.3328103783866639,0.9421155922636835,0.33509640288968856,0.887089654709787,0.33209321872364767,0.9157576607874205,0.06720551273974976,0.01687416074052496,0.0167377817115697,0.016870685806527203,0.016722884481127895,0.9997061388416271,0.0001519805258923466,0.00014188063248055105,0.06719053123025386
27,corporate_office,No Access,0.9428118126884065,0.3311768729577864,0.9567915885596837,0.3351335428474501,0.9680088327727924,0.33368958419476347,0.9559048876592668,0.8605428307401782,0.3363754404939131,0.8949802961651504,0.32826341925964764,0.9022850096008432,0.3353611402464392,0.8858460955902989,0.9645631231965027,0.33318683986394476,0.9392759515521475,0.33204238469771574,0.9717474282660173,0.33477077543833955,0.9585718058005577,0.9442162690232265,0.33365135358835313,0.9344952454023909,0.3324172117456586,0.87692351492592,0.33393143466598835,0.9185136675375356,0.06081006262521797,0.01526221847680707,0.015145622739977868,0.015246498228525215,0.015155723179907822,0.9997212151359015,0.00014476507212831722,0.00013401979197014136,0.06079718457614454
28,corporate_office,No Access,0.9414976302340399,0.33275948782354153,0.9566983276959844,0.3343102183698104,0.9946958815840098,0.33293029380664807,0.9642906881738613,0.8687984920045808,0.3348244378519156,0.9126234014742676,0.3288501750223545,0.895020789581008,0.33632538712572996,0.8920295455377442,0.9727389249520828,0.33332009467028006,0.9541463725703726,0.33176163960883676,0.9793511778158064,0.3349182657208833,0.9687851935510398,0.9353810325482153,0.3357039158467502,0.9426825030503001,0.32981127107139274,0.8464850265764197,0.33448481308185707,0.9080547758739984,0.05502322005640723,0.01381291529220377,0.013684748459474429,0.01378097409127714,0.013744582213451886,0.9997342856291713,0.00013845141649319493,0.0001272629543356274,0.05501210080487969
29,corporate_office,No Access,0.9325633849875369,0.3327539965905221,0.9636810937645419,0.33449535266796754,0.9813485014673566,0.33275065074151033,0.9592053932142808,0.8352479376228423,0.33018257756329905,0.9350242191826229,0.3330167603275607,0.9005706258525141,0.33680066210914034,0.8904758363119135,0.9682824442432153,0.3335923142687336,0.9694286552443149,0.3314545336292907,0.985754611421578,0.33495315210197574,0.9745147185464709,0.9181668524610379,0.33902249597541484,0.9043592337805665,0.3325318988467673,0.8247121500901442,0.3284456051778177,0.8828805925257475,0.05,0.012553720055896661,0.012490035085739069,0.012518010442614953,0.012438234415749322,0.9997454569270952,0.00013308079551186322,0.00012146227739329163,0.04999030940328959
